DFW data by course for Fall 2020 - Spring 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highlighted courses mean enrollment per term >= 20 and DFW rate >= 20% (red) or between 15% and 20% (yellow).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,% of enrolled students who are repeating,,DFW Rate,,,,,,,,,,,,,,,,"DFW equity gap (in percentage points)
compared to Female, Not Pell, White, Non-URM, and Not first generation, respectively.
Positive equity gap means the given group has a higher DFW rate than the comparison group",,,,,,,,,,Each group's percent of total course enrollment,,,,,,,,,,,,,
ECS,Computer Science,CSC,CSC 173,Data Visualization,Upper,3,2,77,39,5.3%,0.0%,5.2%,0.0%,6.7%,4.9%,5.6%,0.0%,6.1%,11.1%,,,100.0%,0.0%,4.5%,9.1%,0.0%,7.8%,6.7,0.7,0.0,6.1,11.1,,,100.0,4.5,-7.8,22.1%,77.9%,46.8%,2.6%,42.9%,11.7%,,,1.3%,24.7%,85.7%,14.3%,31.2%,
ECS,Computer Science,CSC,CSC 174,Adv Database Mgmt Systems,Upper,3,4,188,47,1.1%,3.1%,8.5%,10.3%,8.1%,6.7%,10.1%,0.0%,7.5%,11.1%,,,22.2%,4.1%,8.2%,10.3%,12.5%,5.7%,-2.1,3.4,-4.1,3.4,7.0,,,18.1,2.2,6.8,20.7%,78.7%,52.7%,1.1%,42.6%,14.4%,,,4.8%,26.1%,84.6%,15.4%,38.3%,
ECS,Computer Science,CSC,CSC 177,Data Analytics and Mining,Upper,3,3,118,39,2.8%,0.0%,1.7%,0.0%,2.2%,3.2%,0.0%,0.0%,2.3%,0.0%,,,0.0%,0.0%,2.0%,0.0%,3.1%,1.3%,2.2,-3.2,0.0,2.3,0.0,,,0.0,-2.0,1.8,21.2%,78.8%,47.5%,2.5%,36.4%,14.4%,,,4.2%,29.7%,83.1%,16.9%,27.1%,
ECS,Computer Science,CSC,CSC 179,Software Test+Qualty Assurance,Upper,3,3,111,37,0.0%,0.0%,0.9%,0.0%,1.2%,1.7%,0.0%,0.0%,0.0%,0.0%,,,12.5%,0.0%,1.1%,0.0%,0.0%,1.6%,1.2,-1.7,0.0,0.0,0.0,,,12.5,-1.1,-1.6,23.4%,76.6%,45.9%,3.6%,41.4%,18.0%,,,7.2%,18.9%,78.4%,21.6%,33.3%,
ECS,Computer Science,CSC,CSC 180,Intelligent Systems,Upper,3,4,151,38,0.0%,1.6%,8.6%,0.0%,9.9%,12.2%,3.3%,25.0%,8.9%,13.6%,0.0%,,33.3%,2.3%,7.3%,14.3%,13.5%,7.7%,9.9,-8.9,22.7,6.6,11.3,-2.3,,31.0,7.0,5.8,12.6%,86.8%,40.4%,2.6%,37.1%,14.6%,1.3%,,4.0%,28.5%,81.5%,18.5%,24.5%,
ECS,Computer Science,CSC,CSC 190,Senior Project-Part I,Upper,2,4,579,145,0.3%,0.4%,0.2%,0.0%,0.2%,0.0%,0.3%,0.0%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.3%,0.2,0.3,0.0,0.5,0.0,0.0,0.0,0.0,-0.2,-0.3,14.7%,85.1%,50.6%,2.6%,31.8%,17.1%,0.5%,0.3%,6.2%,31.1%,79.4%,20.6%,28.8%,
ECS,Computer Science,CSC,CSC 191,Senior Project-Part II,Upper,2,4,563,141,0.4%,0.0%,0.4%,0.0%,0.4%,0.3%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.4%,0.0%,0.0%,0.5%,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.5,15.1%,84.7%,46.0%,2.0%,33.7%,16.9%,0.2%,0.4%,5.9%,29.7%,80.6%,19.4%,27.9%,
ECS,Computer Science,CSC,CSC 192,Career Planning,Upper,1,4,585,146,0.0%,2.0%,1.9%,0.0%,2.2%,3.2%,0.4%,0.0%,1.5%,2.0%,0.0%,0.0%,2.8%,1.8%,1.9%,1.7%,1.2%,2.3%,2.2,-2.8,-1.8,-0.2,0.2,-1.8,-1.8,1.0,-0.2,-1.1,14.0%,85.8%,46.3%,1.7%,34.0%,17.4%,0.3%,0.2%,6.2%,29.2%,80.3%,19.7%,28.2%,
ECS,Computer Science,CSC,CSC 194,Computer Science Seminar,Upper,1,1,170,170,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7%,85.3%,47.1%,1.8%,38.8%,14.7%,0.6%,0.6%,6.5%,26.5%,82.4%,17.6%,29.4%,
ECS,Computer Science,CSC,CSC 195,Field Work Comp Science,Upper,1.5,4,73,18,,,1.7%,0.0%,2.1%,3.0%,0.0%,0.0%,3.7%,7.1%,,,0.0%,0.0%,1.1%,4.3%,0.0%,2.6%,2.1,-3.0,0.0,3.7,7.1,,,0.0,3.3,-2.6,20.5%,79.5%,39.7%,5.5%,26.0%,13.7%,,,11.0%,28.8%,80.8%,19.2%,27.4%,
ECS,Computer Science,CSC,CSC 195A,Professional Practice,Upper,9,2,4,2,,,0.0%,0.0%,0.0%,0.0%,,,,,,,,0.0%,0.0%,,,0.0%,0.0,,,,,,,,,,25.0%,75.0%,,,,,,,,25.0%,100.0%,,,
ECS,Computer Science,CSC,CSC 196P,Cloud and Mobile Pragmatics,Upper,3,2,25,13,0.0%,,16.0%,16.7%,15.8%,20.0%,13.3%,0.0%,0.0%,28.6%,,,0.0%,33.3%,11.8%,25.0%,0.0%,26.7%,-0.9,-6.7,-33.3,-33.3,-4.8,,,-33.3,13.2,-26.7,24.0%,76.0%,60.0%,4.0%,24.0%,28.0%,,,4.0%,24.0%,68.0%,32.0%,36.0%,
ECS,Computer Science,CSC,CSC 196W,Web Programming,Upper,1,3,285,95,0.0%,0.6%,1.8%,0.0%,2.1%,2.2%,1.4%,0.0%,2.2%,0.0%,0.0%,0.0%,0.0%,3.5%,2.3%,0.0%,0.0%,2.8%,2.1,-0.8,-3.5,-1.4,-3.5,-3.5,-3.5,-3.5,-2.3,-2.8,15.4%,84.2%,51.9%,3.2%,32.6%,18.9%,0.4%,0.7%,4.9%,29.8%,76.8%,23.2%,32.3%,
ECS,Computer Science,CSC,CSC 198,Co-Curricular Activities,Upper,1,3,5,2,,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,,,,0.0%,0.0%,,0.0%,0.0%,0.0,0.0,,0.0,,,,,,0.0,60.0%,40.0%,40.0%,,60.0%,,,,,20.0%,100.0%,,60.0%,
ECS,Computer Science,CSC,CSC 199,Special Problems,Upper,1.1,4,14,4,,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,7.1%,92.9%,35.7%,,14.3%,14.3%,,,7.1%,57.1%,85.7%,14.3%,7.1%,
ECS,Computer Science,ENGR,ENGR 193/NSM 193,Emerging Leaders in STEM,Upper,1,2,27,14,0.0%,0.0%,11.1%,12.5%,10.5%,11.8%,10.0%,0.0%,0.0%,0.0%,,,0.0%,22.2%,17.6%,0.0%,0.0%,17.6%,-2.0,-1.8,-22.2,-22.2,-22.2,,,-22.2,-17.6,-17.6,29.6%,70.4%,37.0%,7.4%,14.8%,29.6%,,,3.7%,33.3%,63.0%,37.0%,33.3%,
ECS,Computer Science,ENGR,ENGR 194,Career Development,Upper,1,1,2,2,,,0.0%,,0.0%,0.0%,0.0%,,0.0%,,,,,0.0%,0.0%,,,0.0%,,0.0,,0.0,,,,,,,,100.0%,50.0%,,50.0%,,,,,50.0%,100.0%,,,
ECS,Computer Science,ENGR,ENGR 196G,Advancing Leaders in STEM,Upper,1,1,10,10,,0.0%,20.0%,25.0%,16.7%,20.0%,20.0%,0.0%,33.3%,25.0%,,,,0.0%,20.0%,20.0%,40.0%,0.0%,-8.3,0.0,0.0,33.3,25.0,,,,0.0,40.0,40.0%,60.0%,50.0%,10.0%,30.0%,40.0%,,,,20.0%,50.0%,50.0%,50.0%,
ECS,Construction Management,CM,CM 9,Construction Survey & Layout,Lower,3,4,103,26,0.0%,3.6%,5.8%,0.0%,6.2%,4.0%,7.5%,0.0%,0.0%,9.8%,,0.0%,0.0%,0.0%,2.1%,8.9%,4.3%,5.9%,6.2,3.5,0.0,0.0,9.8,,0.0,0.0,6.8,-1.6,5.8%,94.2%,51.5%,1.9%,5.8%,49.5%,,2.9%,3.9%,30.1%,45.6%,54.4%,45.6%,
ECS,Construction Management,CM,CM 10,Construction Industry,Lower,1,4,190,48,4.4%,7.8%,17.4%,22.7%,16.7%,22.7%,11.8%,58.3%,15.4%,14.6%,,,0.0%,15.0%,14.7%,19.1%,15.6%,18.9%,-6.1,-10.9,43.3,0.4,-0.4,,,-15.0,4.5,-3.4,11.6%,88.4%,48.9%,6.3%,6.8%,54.2%,,,2.1%,21.1%,39.5%,60.5%,47.4%,
ECS,Construction Management,CM,CM 15,Fundamentals of Const. Mgmt.,Lower,3,3,96,32,1.5%,3.6%,27.1%,20.0%,27.9%,30.2%,23.3%,60.0%,0.0%,28.9%,,0.0%,28.6%,10.5%,17.5%,33.9%,23.8%,28.0%,7.9,-6.9,49.5,-10.5,18.4,,-10.5,18.0,16.4,-4.2,10.4%,89.6%,44.8%,10.4%,5.2%,46.9%,,1.0%,7.3%,19.8%,41.7%,58.3%,43.8%,
ECS,Construction Management,CM,CM 20,Constructn Materl+Process,Lower,3,4,150,38,8.7%,1.2%,14.7%,27.8%,12.9%,17.2%,11.1%,25.0%,9.1%,14.1%,,,20.0%,8.6%,14.7%,14.6%,17.1%,12.3%,-14.9,-6.1,16.4,0.5,5.5,,,11.4,-0.1,4.8,12.0%,88.0%,42.0%,2.7%,7.3%,52.0%,,,3.3%,23.3%,45.3%,54.7%,50.7%,
ECS,Construction Management,CM,CM 21,Construction Graphics,Lower,3,4,144,36,17.2%,26.3%,33.3%,28.6%,33.8%,32.5%,34.4%,62.5%,26.7%,42.2%,,,50.0%,13.2%,22.2%,44.4%,38.1%,29.1%,5.3,1.9,49.3,13.5,29.0,,,36.8,22.2,9.0,9.7%,90.3%,44.4%,5.6%,10.4%,44.4%,,,6.9%,26.4%,50.0%,50.0%,43.8%,
ECS,Construction Management,CM,CM 22,Construction Documents,Lower,3,4,80,20,14.6%,23.1%,6.3%,8.3%,5.9%,4.3%,8.8%,0.0%,0.0%,12.5%,,0.0%,0.0%,3.3%,2.2%,11.4%,8.6%,4.4%,-2.5,4.5,-3.3,-3.3,9.2,,-3.3,-3.3,9.2,4.1,15.0%,85.0%,42.5%,2.5%,12.5%,40.0%,,1.3%,2.5%,37.5%,56.3%,43.8%,43.8%,
ECS,Construction Management,CM,CM 30,Engr Mechanics-Statics,Lower,3,4,134,34,11.5%,11.0%,17.2%,27.3%,16.3%,16.3%,18.5%,33.3%,14.3%,20.4%,,0.0%,0.0%,15.4%,13.9%,21.0%,19.6%,14.7%,-11.0,2.3,17.9,-1.1,5.0,,-15.4,-15.4,7.1,5.0,8.2%,91.8%,40.3%,4.5%,10.4%,40.3%,,1.5%,5.2%,29.1%,53.7%,46.3%,41.8%,
ECS,Construction Management,CM,CM 40,Properties Constrctn Mtrl,Lower,3,4,164,41,1.3%,2.4%,6.1%,0.0%,6.8%,5.6%,6.7%,14.3%,5.9%,4.1%,,,16.7%,3.9%,7.1%,5.0%,6.7%,5.7%,6.8,1.0,10.4,2.0,0.2,,,12.7,-2.1,0.9,10.4%,89.6%,45.7%,4.3%,10.4%,44.5%,,,3.7%,31.1%,51.2%,48.8%,45.7%,
ECS,Construction Management,CM,CM 110,Legal Aspect Construction,Upper,3,4,131,33,2.2%,2.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.9%,93.1%,47.3%,3.8%,5.3%,45.8%,,0.8%,3.8%,35.9%,49.6%,50.4%,35.9%,
ECS,Construction Management,CM,CM 111,Construction Labor Relatn,Upper,3,4,117,29,0.0%,6.1%,5.1%,0.0%,5.4%,6.3%,3.8%,33.3%,0.0%,0.0%,,33.3%,0.0%,4.9%,4.9%,5.4%,2.1%,7.9%,5.4,-2.5,28.5,-4.9,-4.9,,28.5,-4.9,0.4,-5.8,5.1%,94.9%,45.3%,5.1%,6.8%,40.2%,,2.6%,3.4%,35.0%,52.1%,47.9%,40.2%,
ECS,Construction Management,CM,CM 120,Constrctn Oper+Meth Analy,Upper,3,4,193,48,5.9%,47.2%,33.7%,40.0%,33.3%,35.1%,31.7%,37.5%,35.3%,34.2%,,57.1%,22.2%,30.4%,31.4%,36.4%,32.4%,34.2%,-6.7,-3.4,7.1,4.9,3.8,,26.7,-8.2,4.9,-1.8,5.2%,94.8%,42.5%,4.1%,8.8%,37.8%,,3.6%,4.7%,35.8%,54.4%,45.6%,38.3%,
ECS,Construction Management,CM,CM 121,Fundmnt Construct Estimat,Upper,3,4,152,38,3.1%,17.9%,9.2%,10.0%,9.2%,10.6%,7.5%,16.7%,7.7%,8.8%,,25.0%,12.5%,7.1%,8.2%,10.4%,8.8%,10.0%,-0.8,-3.1,9.5,0.5,1.6,,17.9,5.4,2.2,-1.2,6.6%,93.4%,44.1%,3.9%,8.6%,37.5%,,2.6%,5.3%,36.8%,55.9%,44.1%,37.5%,
ECS,Construction Management,CM,CM 124,Engineering Construction,Upper,3,4,139,35,0.0%,7.7%,5.8%,8.3%,5.5%,5.4%,6.2%,14.3%,33.3%,3.3%,,,0.0%,4.0%,7.0%,4.4%,9.8%,3.9%,-2.8,0.7,10.3,29.3,-0.7,,,-4.0,-2.6,5.9,8.6%,91.4%,46.8%,5.0%,6.5%,43.9%,,,3.6%,36.0%,51.1%,48.9%,36.7%,
ECS,Construction Management,CM,CM 125,Advanced Estimating+Bid,Upper,3,4,95,24,4.7%,0.0%,1.1%,14.3%,0.0%,1.9%,0.0%,0.0%,0.0%,2.5%,,,0.0%,0.0%,0.0%,2.3%,0.0%,1.9%,-14.3,-1.9,0.0,0.0,2.5,,,0.0,2.3,-1.9,7.4%,92.6%,45.3%,3.2%,6.3%,42.1%,,,3.2%,38.9%,54.7%,45.3%,35.8%,
ECS,Construction Management,CM,CM 126,Constr Project Management,Upper,3,4,133,33,1.1%,9.3%,5.3%,0.0%,5.6%,2.9%,7.8%,0.0%,14.3%,3.4%,,,0.0%,7.8%,7.2%,3.1%,6.5%,5.3%,5.6,4.9,-7.8,6.4,-4.5,,,-7.8,-4.1,1.2,6.8%,93.2%,48.1%,3.8%,5.3%,44.4%,,,3.8%,38.3%,51.9%,48.1%,34.6%,
ECS,Construction Management,CM,CM 127,"Plan,Scheduling+Control",Upper,3,4,108,27,12.9%,6.5%,7.4%,28.6%,5.9%,10.2%,4.1%,0.0%,0.0%,9.1%,,,0.0%,8.9%,6.6%,8.5%,5.0%,9.8%,-22.6,-6.1,-8.9,-8.9,0.2,,,-8.9,2.0,-4.8,6.5%,93.5%,45.4%,2.8%,5.6%,40.7%,,,3.7%,41.7%,56.5%,43.5%,37.0%,
ECS,Construction Management,CM,CM 129,Senior Project,Upper,3,3,106,35,0.0%,0.0%,0.9%,0.0%,1.0%,1.5%,0.0%,0.0%,0.0%,0.0%,,,0.0%,2.5%,1.8%,0.0%,2.8%,0.0%,1.0,-1.5,-2.5,-2.5,-2.5,,,-2.5,-1.8,2.8,7.5%,92.5%,36.8%,3.8%,5.7%,44.3%,,,3.8%,37.7%,51.9%,48.1%,34.0%,
ECS,Construction Management,CM,CM 130,Struc I Des Prin+Strc Stl,Upper,3,4,153,38,5.5%,11.3%,15.7%,20.0%,15.4%,22.2%,6.3%,0.0%,16.7%,13.6%,,0.0%,25.0%,19.7%,18.4%,12.1%,12.1%,19.1%,-4.6,-15.9,-19.7,-3.0,-6.1,,-19.7,5.3,-6.3,-7.0,6.5%,93.5%,41.2%,2.6%,7.8%,38.6%,,2.0%,5.2%,39.9%,56.9%,43.1%,37.9%,
ECS,Construction Management,CM,CM 135,Soils+Foundations,Upper,3,4,126,32,2.0%,2.6%,3.2%,12.5%,2.5%,1.6%,4.8%,0.0%,9.1%,0.0%,,0.0%,0.0%,6.8%,6.1%,0.0%,1.9%,4.5%,-10.0,3.2,-6.8,2.3,-6.8,,-6.8,-6.8,-6.1,-2.6,6.3%,93.7%,50.0%,3.2%,8.7%,42.9%,,1.6%,2.4%,34.9%,52.4%,47.6%,41.3%,
ECS,Construction Management,CM,CM 136,Principle Mech+Elec Engr,Upper,3,4,123,31,0.0%,1.8%,1.6%,0.0%,1.8%,0.0%,3.6%,33.3%,0.0%,0.0%,,0.0%,0.0%,2.1%,1.4%,1.9%,0.0%,3.0%,1.8,3.6,31.2,-2.1,-2.1,,-2.1,-2.1,0.4,-3.0,7.3%,92.7%,44.7%,2.4%,8.1%,40.7%,,0.8%,3.3%,38.2%,56.1%,43.9%,40.7%,
ECS,Construction Management,CM,CM 140,Struc II-Tmbr+Formwk Dsgn,Upper,3,4,127,32,6.5%,4.9%,5.5%,0.0%,5.8%,4.7%,6.3%,20.0%,16.7%,5.7%,,25.0%,0.0%,0.0%,3.1%,8.1%,7.8%,3.0%,5.8,1.7,20.0,16.7,5.7,,25.0,0.0,5.0,4.9,5.5%,94.5%,49.6%,3.9%,9.4%,41.7%,,3.1%,2.4%,33.1%,51.2%,48.8%,40.2%,
ECS,Construction Management,CM,CM 150,Struc III Reinf Con &  Masonry,Upper,3,4,112,28,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,8.0%,92.0%,47.3%,3.6%,7.1%,47.3%,,,3.6%,33.9%,49.1%,50.9%,39.3%,
ECS,Construction Management,CM,CM 199,Special Problems,Upper,3,1,9,9,,,0.0%,,0.0%,0.0%,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0,,,0.0,,,,0.0,0.0,,100.0%,44.4%,,,55.6%,,,,44.4%,44.4%,55.6%,33.3%,
ECS,Electrical and Electronic Engineering,CPE,CPE 151/EEE 234,Cmos And Vlsi,Upper,3,4,166,42,4.2%,3.2%,6.0%,0.0%,6.8%,7.5%,4.1%,0.0%,0.0%,5.9%,,0.0%,0.0%,4.7%,6.5%,5.2%,10.8%,1.1%,6.8,-3.4,-4.7,-4.7,1.2,,-4.7,-4.7,-1.3,9.7,10.8%,89.2%,44.0%,2.4%,22.9%,30.7%,,1.8%,4.8%,25.9%,65.1%,34.9%,39.2%,
ECS,Electrical and Electronic Engineering,CPE,CPE 166,Advanced Logic Design,Upper,4,4,165,41,5.6%,9.2%,13.3%,21.1%,12.4%,15.3%,10.4%,14.3%,12.2%,10.9%,,0.0%,0.0%,3.4%,14.7%,10.7%,15.3%,12.0%,-8.6,-4.9,10.8,8.8,7.4,,-3.4,-3.4,-4.0,3.3,11.5%,87.9%,40.6%,4.2%,29.7%,27.9%,,1.8%,4.8%,17.6%,66.1%,33.9%,35.8%,
ECS,Electrical and Electronic Engineering,CPE,CPE 185,Computer Interfacing,Upper,4,4,113,28,12.2%,4.7%,10.6%,7.7%,11.0%,13.6%,6.4%,20.0%,11.4%,14.3%,,0.0%,0.0%,0.0%,8.6%,14.0%,16.3%,7.5%,3.3,-7.3,20.0,11.4,14.3,,0.0,0.0,5.4,8.8,11.5%,88.5%,41.6%,4.4%,31.0%,31.0%,,2.7%,6.2%,13.3%,61.9%,38.1%,38.1%,
ECS,Electrical and Electronic Engineering,CPE,CPE 186,Computer Hardware Design,Upper,3,1,37,37,2.7%,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,13.5%,86.5%,51.4%,,37.8%,13.5%,,2.7%,5.4%,24.3%,83.8%,16.2%,29.7%,
ECS,Electrical and Electronic Engineering,CPE,CPE 187,Embedded Sys Design,Upper,3,3,71,24,3.1%,0.0%,8.5%,12.5%,7.9%,10.0%,6.5%,0.0%,0.0%,4.2%,,0.0%,100.0%,7.7%,11.4%,3.7%,7.4%,9.5%,-4.6,-3.5,-7.7,-7.7,-3.5,,-7.7,92.3,-7.7,-2.1,11.3%,88.7%,43.7%,2.8%,25.4%,33.8%,,1.4%,1.4%,18.3%,62.0%,38.0%,38.0%,
ECS,Electrical and Electronic Engineering,CPE,CPE 195,Field Work in CPE,Upper,1,3,3,1,,,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,,,0.0%,0.0%,,0.0%,0.0,,,,,,,,0.0,,33.3%,66.7%,,33.3%,33.3%,,,,,,66.7%,33.3%,,
ECS,Electrical and Electronic Engineering,CPE,CPE 195A,Professional Practice,Upper,9.8,2,2,1,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,,,,,,,0.0%,0.0%,,0.0%,,,0.0,,,,,,,,,,100.0%,50.0%,,,,,,,50.0%,100.0%,,50.0%,
ECS,Electrical and Electronic Engineering,EEE,CPE 64/EEE 64,Intro To Logic Design,Lower,4,4,340,85,7.8%,11.6%,13.8%,10.9%,14.3%,16.1%,11.3%,5.9%,14.6%,19.1%,0.0%,0.0%,11.1%,9.7%,12.4%,16.5%,16.3%,13.6%,3.4,-4.9,-3.8,4.8,9.4,-9.7,-9.7,1.4,4.1,2.8,13.5%,86.5%,47.1%,5.0%,30.3%,27.6%,0.3%,0.9%,5.3%,21.2%,66.2%,33.8%,30.6%,
ECS,Electrical and Electronic Engineering,EEE,EEE 108,Electronics I,Upper,3,4,295,74,18.8%,11.1%,18.6%,20.9%,18.3%,19.3%,17.7%,41.7%,13.5%,21.5%,0.0%,0.0%,18.8%,13.3%,16.3%,22.5%,23.4%,16.0%,-2.6,-1.6,28.3,0.2,8.2,-13.3,-13.3,5.4,6.2,7.4,14.6%,85.1%,42.0%,4.1%,25.1%,31.5%,0.3%,1.7%,5.4%,20.3%,62.4%,37.6%,31.9%,
ECS,Electrical and Electronic Engineering,EEE,EEE 108L,Electronics I Laboratory,Upper,1,4,270,68,6.9%,4.5%,8.9%,8.3%,9.0%,10.6%,6.7%,0.0%,9.9%,7.6%,100.0%,0.0%,20.0%,7.3%,9.8%,7.3%,12.5%,7.1%,0.7,-3.9,-7.3,2.6,0.3,92.7,-7.3,12.7,-2.5,5.4,13.3%,86.3%,44.1%,4.1%,26.3%,29.3%,0.4%,1.9%,5.6%,20.4%,64.4%,35.6%,32.6%,
ECS,Electrical and Electronic Engineering,EEE,EEE 109,Electronics II,Upper,4,4,107,27,1.7%,8.3%,10.3%,19.0%,8.2%,7.8%,12.5%,0.0%,0.0%,27.8%,,0.0%,12.5%,0.0%,1.6%,22.2%,17.1%,3.3%,-10.8,4.7,0.0,0.0,27.8,,0.0,12.5,20.6,13.8,19.6%,79.4%,52.3%,4.7%,18.7%,33.6%,,3.7%,7.5%,26.2%,57.9%,42.1%,38.3%,
ECS,Electrical and Electronic Engineering,EEE,EEE 117,Network Analysis,Upper,3,4,329,82,6.4%,7.1%,8.2%,7.3%,8.3%,7.2%,9.3%,28.6%,4.4%,10.7%,,0.0%,0.0%,8.0%,5.4%,14.0%,11.2%,6.5%,1.0,2.1,20.6,-3.6,2.7,,-8.0,-8.0,8.6,4.7,12.5%,87.5%,49.2%,6.4%,27.4%,25.5%,,0.6%,5.2%,22.8%,67.5%,32.5%,35.3%,
ECS,Electrical and Electronic Engineering,EEE,EEE 117L,Network Analysis Lab,Upper,1,4,325,81,5.3%,7.7%,8.3%,5.0%,8.8%,6.1%,10.5%,15.8%,3.4%,9.6%,,0.0%,10.5%,10.5%,7.2%,10.6%,12.9%,5.6%,3.8,4.4,5.3,-7.1,-0.9,,-10.5,0.0,3.3,7.3,12.3%,87.7%,49.8%,5.8%,27.1%,25.5%,,0.6%,5.8%,23.4%,68.0%,32.0%,35.7%,
ECS,Electrical and Electronic Engineering,EEE,EEE 122,Applied Digital Signal Process,Upper,3,2,34,17,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,8.8%,91.2%,67.6%,2.9%,23.5%,26.5%,,,11.8%,32.4%,70.6%,29.4%,52.9%,
ECS,Electrical and Electronic Engineering,EEE,EEE 130,Electromechanical Conversion,Upper,3,4,208,52,5.8%,4.8%,8.7%,10.5%,8.2%,11.5%,5.8%,0.0%,0.0%,8.3%,0.0%,0.0%,33.3%,9.8%,9.5%,7.0%,5.1%,11.4%,-2.3,-5.8,-9.8,-9.8,-1.5,-9.8,-9.8,23.5,-2.4,-6.3,18.3%,81.7%,50.0%,3.4%,25.0%,28.8%,0.5%,1.4%,8.7%,24.5%,65.9%,34.1%,37.5%,
ECS,Electrical and Electronic Engineering,EEE,EEE 131,Electromechanics Lab,Upper,1,3,64,21,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,14.1%,85.9%,46.9%,4.7%,23.4%,29.7%,,1.6%,6.3%,25.0%,64.1%,35.9%,45.3%,
ECS,Electrical and Electronic Engineering,EEE,EEE 135,Renewable Elec Energy Sources,Upper,3,2,72,36,,0.0%,1.4%,0.0%,1.7%,0.0%,2.5%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,2.2%,0.0%,3.0%,0.0%,1.7,2.5,0.0,0.0,0.0,,0.0,0.0,-2.2,3.0,18.1%,81.9%,55.6%,4.2%,23.6%,30.6%,,1.4%,8.3%,22.2%,63.9%,36.1%,45.8%,
ECS,Electrical and Electronic Engineering,EEE,EEE 136,Smart Electric Power Grid,Upper,3,2,48,24,0.0%,0.0%,2.1%,0.0%,2.3%,5.0%,0.0%,100.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,6.3%,0.0%,0.0%,2.3,-5.0,100.0,0.0,0.0,,,0.0,6.3,0.0,8.3%,91.7%,58.3%,2.1%,25.0%,31.3%,,,8.3%,27.1%,66.7%,33.3%,47.9%,
ECS,Electrical and Electronic Engineering,EEE,EEE 141,Power System Analysis I,Upper,3,4,137,34,5.4%,1.6%,5.8%,4.5%,6.1%,7.4%,4.3%,0.0%,5.9%,2.4%,0.0%,0.0%,9.1%,11.8%,8.0%,2.0%,4.1%,7.1%,1.5,-3.0,-11.8,-5.9,-9.3,-11.8,-11.8,-2.7,-6.0,-3.1,16.1%,83.9%,50.4%,4.4%,24.8%,29.9%,0.7%,1.5%,8.0%,24.8%,63.5%,36.5%,35.8%,
ECS,Electrical and Electronic Engineering,EEE,EEE 142,Power System Analysis II,Upper,3,4,101,25,6.4%,0.0%,7.9%,21.1%,4.9%,9.8%,6.0%,0.0%,13.6%,8.1%,,0.0%,0.0%,0.0%,8.3%,7.3%,13.6%,4.0%,-16.2,-3.8,0.0,13.6,8.1,,0.0,0.0,-1.0,9.6,18.8%,81.2%,49.5%,3.0%,21.8%,36.6%,,1.0%,5.9%,23.8%,59.4%,40.6%,43.6%,
